 SupplierID ; Name                ; ContactPerson     ; Phone         ; Email                   ; Address                     
1; СтройМир            ; Иван Петров       ;79161234567; info@stroymir.ru        ; Москва, ул. Ленина, 1       
2; Инструменты+        ; Анна Сидорова     ;79031234568; tools@instr.ru          ; СПб, Невский пр., 10        
3; МеталлТорг          ; Сергей Козлов     ;79261234569; metal@metalltorg.ru     ; Екатеринбург, ул. Гагарина, 5 
4; ДомСтрой            ; Ольга Новикова    ;79111234570; dom@domstroy.ru         ; Новосибирск, ул. Кирова, 15  
5; ЭлектроСнаб         ; Дмитрий Соколов   ;79091234571; electro@electro.ru      ; Казань, ул. Советская, 20    
6; КраскаПрофи         ; Мария Иванова     ;79171234572; info@kraska.ru          ; Самара, ул. Победы, 7        
7; ТеплоДом            ; Алексей Федоров   ;79211234573; teplo@teplodom.ru       ; Ростов-на-Дону, ул. Мира, 12 
8; ОкнаМастер          ; Елена Васильева   ;79021234574; okna@master.ru          ; Уфа, ул. Центральная, 30     
9; БетонСервис         ; Павел Морозов     ;79131234575; beton@service.ru        ; Нижний Новгород, ул. Горького, 8 
10; ДвериСталь          ; Виктория Климова  ;79221234576; dveri@stal.ru           ; Воронеж, ул. Ленина, 45      
11; СантехЛюкс          ; Артем Белов       ;79041234577; san@texlux.ru           ; Краснодар, ул. Красная, 3    
12; ПаркетЭксперт       ; Наталья Романова  ;79181234578; parket@expert.ru        ; Челябинск, ул. Комарова, 22  
13; КровляПро           ; Игорь Николаев    ;79231234579; krovel@pro.ru           ; Омск, ул. Маяковского, 11    
14; ИзоляцияПлюс        ; Светлана Кузнецова;79051234580; izol@plus.ru            ; Тюмень, ул. Первомайская, 9  
15; ФасадГрупп          ; Андрей Павлов     ;79191234581; fasad@group.ru          ; Иркутск, ул. Декабристов, 4  
16; ЛаминатМир          ; Юлия Семенова     ;79241234582; laminat@mir.ru          ; Тольятти, ул. Юбилейная, 17  
17; СтеклоСити          ; Кирилл Волков     ;79061234583; steklo@city.ru          ; Хабаровск, ул. Ленинградская, 6 
18; КафельОнлайн        ; Антон Смирнов     ;79141234584; kafel@online.ru         ; Ярославль, ул. Свободы, 13   
19; ИнженерияТепла      ; Дарья Петрова     ;79251234585; teplo@inzh.ru           ; Владивосток, ул. Набережная, 2 
20; ЛесМатериалы        ; Глеб Иванов       ;79071234586; les@material.ru         ; Тверь, ул. Зеленая, 28       
21; ТрубыПрофи          ; Екатерина Соколова;79151234587; truby@profi.ru          ; Сочи, ул. Курортная, 5       
22; Светодиоды          ; Максим Новиков    ;79261234588; svet@led.ru             ; Калининград, ул. Балтийская, 1 
23; КрепежОпт           ; Ольга Медведева   ;79081234589; krepezh@opt.ru          ; Ульяновск, ул. Гончарова, 10 
24; ПлиткаМастер        ; Роман Козлов      ;79161234590; plitka@master.ru        ; Саратов, ул. Московская, 14  
25; ИнструментЭкспресс  ; Татьяна Фролова   ;79271234591; instrument@express.ru   ; Волгоград, ул. Мира, 33      
